source,source_id,company,title,url,location,remote_status,florida_eligible,salary_min,salary_max,score,decision,reasons,gaps
lever,5ecb63bd-5d57-451a-ab8f-eadce294630a,Agile Defense,Procurement Compliance Manager,https://jobs.lever.co/agile-defense/5ecb63bd-5d57-451a-ab8f-eadce294630a,Remote,remote,,,,45,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, process improvement, implementation, crm, workflow, automation): +25.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,16fb294b-eb50-4f1d-a3e9-fd0c34a8594e,Arcadia,Lead Analytics Engineer - Data Modeling & Quality,https://jobs.lever.co/arcadia/16fb294b-eb50-4f1d-a3e9-fd0c34a8594e,Remote (USA),hybrid,True,,,44,verify,"Role-family alignment: +5. | Remote indicated in location: +10; eligibility still requires verification. | Florida eligibility verified: +10. | Evidence-aligned keywords (operations, implementation, workflow, automation, stakeholder, ai): +19.",Compensation is not published or verified.
lever,2095cc98-e1ea-4343-a7b9-1490dde535fd,Arcadia,"Vice President of Sales, Provider",https://jobs.lever.co/arcadia/2095cc98-e1ea-4343-a7b9-1490dde535fd,Remote (USA),remote,True,,,42,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Florida eligibility verified: +10. | Evidence-aligned keywords (operations, salesforce, stakeholder, ai): +12.",Role is not clearly full-time employment. | Compensation is not published or verified.
lever,894ccc47-f430-4391-8dc1-063079c602db,Arcadia,"Director, Analytics",https://jobs.lever.co/arcadia/894ccc47-f430-4391-8dc1-063079c602db,Remote (USA),remote,True,,,41,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Florida eligibility verified: +10. | Evidence-aligned keywords (workflow, automation, stakeholder, ai): +11.",Compensation is not published or verified.
lever,91f5f849-2097-4b38-9a63-925e95f56354,Rover,Assistant Controller,https://jobs.lever.co/rover/91f5f849-2097-4b38-9a63-925e95f56354,Seattle,hybrid,,140761,179228,41,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, implementation, automation, stakeholder, ai): +16.",Remote status is not verified. | Florida eligibility is unknown.
lever,6dd0e002-3005-4848-95ca-2b3c0f773c43,Rover,Senior Director of Lifecycle Strategy,https://jobs.lever.co/rover/6dd0e002-3005-4848-95ca-2b3c0f773c43,Seattle,onsite,,196726,261646,41,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, implementation, crm, automation, ai): +16.",Remote status is not verified. | Florida eligibility is unknown.
lever,8d47c7e3-34c9-427d-9836-eebc128ad7b0,Swiftly,"Sales Manager, SMB",https://jobs.lever.co/goswift/8d47c7e3-34c9-427d-9836-eebc128ad7b0,United States,onsite,,120000,201300,40,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, salesforce, workflow, stakeholder, ai): +15.",Remote status is not verified. | Florida eligibility is unknown.
lever,648a0928-f5df-4d5e-856b-a9a7a9115cc6,Arcadia,Chief of Staff - Commercial Strategy,https://jobs.lever.co/arcadia/648a0928-f5df-4d5e-856b-a9a7a9115cc6,Remote (USA),remote,True,,,39,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Florida eligibility verified: +10. | Evidence-aligned keywords (operations, stakeholder, ai): +9.",Compensation is not published or verified.
lever,ff8fbc1e-bb28-4b02-af63-f6a8083cdb0c,Agile Defense,"Information System Security Officers (ISSO), Senior Security Engineers & Security Engineering Leads (CBP)",https://jobs.lever.co/agile-defense/ff8fbc1e-bb28-4b02-af63-f6a8083cdb0c,"Reston, VA",hybrid,,140000,190000,38,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, implementation, project management, ai): +13.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown.
lever,04782e8c-bb50-4f87-a473-7d63dbacca45,Agile Defense,Security Operations Center Manager (CBP),https://jobs.lever.co/agile-defense/04782e8c-bb50-4f87-a473-7d63dbacca45,"Reston, VA",hybrid,,155000,185000,38,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, program management, workflow, ai): +13.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown.
lever,67cc8e4a-92bc-4d3b-a158-1098c15939e0,Arcadia,"Staff Applied AI Engineer, Product & Agent Performance",https://jobs.lever.co/arcadia/67cc8e4a-92bc-4d3b-a158-1098c15939e0,Remote (USA),remote,True,,,38,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Florida eligibility verified: +10. | Evidence-aligned keywords (workflow, automation, ai): +8.",Compensation is not published or verified.
lever,06a73dca-bc19-4389-90f6-73958c45e906,Swiftly,Customer Training & Adoption Specialist(SaaS),https://jobs.lever.co/goswift/06a73dca-bc19-4389-90f6-73958c45e906,United States,remote,,74000,124000,38,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, implementation, workflow, ai): +13.","Florida eligibility is unknown. | Published salary range begins below $90,000."
lever,33a8adb7-aed0-4e7f-86dd-2738b8ef55fb,Agile Defense,Splunk Architect Lead (CBP),https://jobs.lever.co/agile-defense/33a8adb7-aed0-4e7f-86dd-2738b8ef55fb,"Reston, VA",hybrid,,175000,225000,37,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, project management, automation, ai): +12.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown.
lever,c3bbbce9-2e2a-4db9-a193-33d2d796e6b8,Swiftly,Director of Communications,https://jobs.lever.co/goswift/c3bbbce9-2e2a-4db9-a193-33d2d796e6b8,United States,onsite,,153750,205000,37,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, workflow, stakeholder, ai): +12.",Remote status is not verified. | Florida eligibility is unknown.
lever,d446e305-3904-4cc6-b11b-77a4aea2b0f3,Swiftly,Senior Product Designer,https://jobs.lever.co/goswift/d446e305-3904-4cc6-b11b-77a4aea2b0f3,United States,onsite,,120000,160000,37,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, workflow, automation, ai): +12.",Remote status is not verified. | Florida eligibility is unknown.
lever,ee058543-184a-4d95-b004-fef4e42b62a7,Agile Defense,Program Manager,https://jobs.lever.co/agile-defense/ee058543-184a-4d95-b004-fef4e42b62a7,"Ashburn, VA",onsite,,,,36,verify,"Role-family alignment: +16. | Evidence-aligned keywords (operations, implementation, program management, workflow, stakeholder, ai): +20.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,1dd32b04-f586-4dc4-a228-0369fd2b59f5,Agile Defense,Program Manager (CBP),https://jobs.lever.co/agile-defense/1dd32b04-f586-4dc4-a228-0369fd2b59f5,"Reston, VA",hybrid,,,,36,verify,"Role-family alignment: +16. | Evidence-aligned keywords (operations, implementation, program management, project management, workflow, ai): +20.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,45de3fd3-68f2-4b85-8892-42829e3a560d,Arbital Health,"Senior Product Manager, Data Platform",https://jobs.lever.co/arbitalhealth/45de3fd3-68f2-4b85-8892-42829e3a560d,Remote,remote,,,,36,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, implementation, automation, stakeholder, ai): +16.",Florida eligibility is unknown. | Compensation is not published or verified.
lever,a1dc40f9-5ed2-4060-a016-ab138b8f8cfe,Arbital Health,"Vice President, Customer Success",https://jobs.lever.co/arbitalhealth/a1dc40f9-5ed2-4060-a016-ab138b8f8cfe,Remote,remote,,,,36,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, implementation, crm, stakeholder, ai): +16.",Florida eligibility is unknown. | Compensation is not published or verified.
lever,c73c4f0b-0552-4f2a-bdd3-3a99145042fb,Rover,"Senior Engineering Manager, Commerce Platform",https://jobs.lever.co/rover/c73c4f0b-0552-4f2a-bdd3-3a99145042fb,Seattle,hybrid,,198696,264266,36,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (workflow, automation, stakeholder, ai): +11.",Remote status is not verified. | Florida eligibility is unknown.
lever,af026ac9-6a79-4073-b237-4db04031d0a6,Agile Defense,Vulnerability Assessment (VA) Team Lead (CBP),https://jobs.lever.co/agile-defense/af026ac9-6a79-4073-b237-4db04031d0a6,"Reston, VA",hybrid,,155000,175000,35,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, implementation, ai): +10.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown.
lever,631c2c22-0759-4f84-a9a1-11305917c510,Arcadia,Principal Software Engineer-Platforms,https://jobs.lever.co/arcadia/631c2c22-0759-4f84-a9a1-11305917c510,Remote (USA),remote,True,,,35,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Florida eligibility verified: +10. | Evidence-aligned keywords (workflow, ai): +5.",Compensation is not published or verified.
lever,210d0c06-5b33-4166-9c01-c735faeed795,Rover,Tax Manager,https://jobs.lever.co/rover/210d0c06-5b33-4166-9c01-c735faeed795,Seattle,hybrid,,125000,160000,35,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (process improvement, implementation, ai): +10.",Remote status is not verified. | Florida eligibility is unknown.
lever,04509343-b26d-47e5-a9a8-ed83b0c032aa,Agile Defense,Artificial Intelligence Subject Matter Expert (CBP),https://jobs.lever.co/agile-defense/04509343-b26d-47e5-a9a8-ed83b0c032aa,"Reston, VA",onsite,,180000,235000,34,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, automation, ai): +9.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown.
lever,85dcf0d4-d004-4b57-add3-88bebfa5a36f,Agile Defense,Cyber Threat Intelligence Lead (CBP),https://jobs.lever.co/agile-defense/85dcf0d4-d004-4b57-add3-88bebfa5a36f,"Reston, VA",hybrid,,155000,180000,34,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, workflow, ai): +9.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown.
lever,32bd3bd9-825a-47fa-b7ec-8b8c6dbcabd6,Agile Defense,Digital Forensics Lead (CBP),https://jobs.lever.co/agile-defense/32bd3bd9-825a-47fa-b7ec-8b8c6dbcabd6,"Reston, VA",hybrid,,155000,175000,34,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, workflow, ai): +9.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown.
lever,f8ddce84-bed3-491a-a521-482a0ff90bd4,Agile Defense,Insider Threat Monitoring Lead (CBP),https://jobs.lever.co/agile-defense/f8ddce84-bed3-491a-a521-482a0ff90bd4,"Reston, VA",hybrid,,160000,185000,34,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, sop, ai): +9.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown.
lever,c88eaf0a-f272-4119-af81-fc71c617b006,Rover,Director of Corporate Development,https://jobs.lever.co/rover/c88eaf0a-f272-4119-af81-fc71c617b006,Seattle,onsite,,158513,210822,34,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (implementation, stakeholder, ai): +9.",Remote status is not verified. | Florida eligibility is unknown.
lever,10c08b9a-0eef-4db7-aa4a-20e86543ca58,Swiftly,Senior Account Manager,https://jobs.lever.co/goswift/10c08b9a-0eef-4db7-aa4a-20e86543ca58,United States,onsite,,117000,180000,34,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, stakeholder, ai): +9.",Remote status is not verified. | Florida eligibility is unknown.
lever,315ac25b-58d0-4a95-b53e-62d6fd7fb9b8,Agile Defense,Unified Communications Specialist,https://jobs.lever.co/agile-defense/315ac25b-58d0-4a95-b53e-62d6fd7fb9b8,"Quantico, VA",remote,,,,33,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, implementation, sop, ai): +13.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,878f8c29-b287-488d-b6c0-e65e059f24b4,Arcadia,Customer Success Manager,https://jobs.lever.co/arcadia/878f8c29-b287-488d-b6c0-e65e059f24b4,Remote,remote,,,,33,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, implementation, stakeholder, ai): +13.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,b5aeaf70-8b75-4a4f-b7d6-387cb576fa48,Arbital Health,Events & Experiences Manager,https://jobs.lever.co/arbitalhealth/b5aeaf70-8b75-4a4f-b7d6-387cb576fa48,Remote,remote,,,,32,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, project management, stakeholder, ai): +12.",Florida eligibility is unknown. | Compensation is not published or verified.
lever,529edd7b-5e37-4d8c-9b91-c48776764e70,Arcadia,Business Development Representative,https://jobs.lever.co/arcadia/529edd7b-5e37-4d8c-9b91-c48776764e70,"Boston, DC, Remote",remote,,,,32,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, salesforce, automation, ai): +12.",Florida eligibility is unknown. | Compensation is not published or verified.
lever,33ccf13c-8a8a-4c09-9f4a-e3edc893e9f2,Arcadia,"Vice President of Sales, Payor",https://jobs.lever.co/arcadia/33ccf13c-8a8a-4c09-9f4a-e3edc893e9f2,Remote,remote,,,,32,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, salesforce, stakeholder, ai): +12.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,2a1c2b4e-0673-4118-9443-e2ccdb5f9ec1,Agile Defense,Enterprise Asset Manager (CBP),https://jobs.lever.co/agile-defense/2a1c2b4e-0673-4118-9443-e2ccdb5f9ec1,"Reston, VA",hybrid,,135000,160000,31,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, ai): +6.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown.
lever,aaa8d8ef-760e-4ee7-9d09-ad4bc49c5eb2,Agile Defense,Incident Response Team Lead (CBP),https://jobs.lever.co/agile-defense/aaa8d8ef-760e-4ee7-9d09-ad4bc49c5eb2,"Reston, VA",hybrid,,155000,180000,31,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, ai): +6.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown.
lever,08a0da53-4577-4851-97b0-e14fa029b45f,Agile Defense,Threat Hunt Lead (CBP),https://jobs.lever.co/agile-defense/08a0da53-4577-4851-97b0-e14fa029b45f,"Reston, VA",hybrid,,165000,200000,31,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, ai): +6.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown.
lever,b28494d8-0aa2-44aa-b443-ecc23b465ac5,Arcadia,"Director, Business Development - Life Sciences",https://jobs.lever.co/arcadia/b28494d8-0aa2-44aa-b443-ecc23b465ac5,Remote,remote,,,,31,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (crm, workflow, stakeholder, ai): +11.",Florida eligibility is unknown. | Compensation is not published or verified.
lever,ae7b1e71-b783-4677-9cfa-dcce51333dfa,Swiftly,Software Engineer - Full-stack,https://jobs.lever.co/goswift/ae7b1e71-b783-4677-9cfa-dcce51333dfa,United States,onsite,,130000,180000,31,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, ai): +6.",Remote status is not verified. | Florida eligibility is unknown.
lever,81df24b8-d3f6-463b-b273-cc0bc2e11383,Swiftly,Solutions Engineer,https://jobs.lever.co/goswift/81df24b8-d3f6-463b-b273-cc0bc2e11383,United States,onsite,,120000,155000,31,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, ai): +6.",Remote status is not verified. | Florida eligibility is unknown.
lever,439243a2-68e7-4b36-90c9-649ef7512550,Agile Defense,Network Installation Specialist - Journeyman,https://jobs.lever.co/agile-defense/439243a2-68e7-4b36-90c9-649ef7512550,Remote,remote,,,,30,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (implementation, program management, ai): +10.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,f7b4a22c-6fe0-4fa6-9c87-d6399b87fb41,Agile Defense,Senior Hardware/Software Installation Technician,https://jobs.lever.co/agile-defense/f7b4a22c-6fe0-4fa6-9c87-d6399b87fb41,Remote,remote,,,,30,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, program management, ai): +10.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,3ab99c36-1431-4176-ac95-baa2e3f981eb,Agile Defense,Senior Hardware/Software Installation Technician (Survey Team Lead),https://jobs.lever.co/agile-defense/3ab99c36-1431-4176-ac95-baa2e3f981eb,Remote,remote,,,,30,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, program management, ai): +10.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,f4ed801b-9446-4d89-9640-31df00295f11,Rover,"Senior Counsel: Litigation, Regulatory Advocacy & Policy",https://jobs.lever.co/rover/f4ed801b-9446-4d89-9640-31df00295f11,Seattle,hybrid,,182290,242446,30,verify,"Role-family alignment: +5. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (stakeholder, ai): +5.",Remote status is not verified. | Florida eligibility is unknown.
lever,4b71c660-6bb4-4efd-8d49-8842d787664c,Agile Defense,Deputy Program Manager,https://jobs.lever.co/agile-defense/4b71c660-6bb4-4efd-8d49-8842d787664c,"Ashburn, VA",hybrid,,,,29,verify,"Role-family alignment: +16. | Evidence-aligned keywords (operations, program management, workflow, ai): +13.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,d59fe069-2a9c-4c2b-b292-9d710f73f70a,Agile Defense,Helpdesk Support Specialist I,https://jobs.lever.co/agile-defense/d59fe069-2a9c-4c2b-b292-9d710f73f70a,"Huntsville, AL",remote,,,,29,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, project management, ai): +9.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,3effb9ac-ff91-495c-ac70-2bf0de1cf8d9,Agile Defense,Senior Video Producer,https://jobs.lever.co/agile-defense/3effb9ac-ff91-495c-ac70-2bf0de1cf8d9,"Washington, D.C.",remote,,,,29,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, stakeholder, ai): +9.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,d3795a5a-3153-49da-8b81-721138b56a14,Agile Defense,Software Engineer (Mid & Senior),https://jobs.lever.co/agile-defense/d3795a5a-3153-49da-8b81-721138b56a14,Remote,remote,,,,29,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (operations, stakeholder, ai): +9.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,68ed22c9-afeb-41ba-af11-64a28297d041,Arbital Health,"Vice President, Payer Sales",https://jobs.lever.co/arbitalhealth/68ed22c9-afeb-41ba-af11-64a28297d041,Remote,remote,,,,29,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (implementation, stakeholder, ai): +9.",Florida eligibility is unknown. | Compensation is not published or verified.
lever,25c82f96-3798-453f-9b73-f3877600d2ee,Rover,Senior Technical Program Manager - Partnerships and Integrations,https://jobs.lever.co/rover/25c82f96-3798-453f-9b73-f3877600d2ee,Barcelona,hybrid,,,,29,verify,"Role-family alignment: +16. | Evidence-aligned keywords (implementation, program management, workflow, ai): +13.",Remote status is not verified. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,fe7f0553-d3ab-4f20-a81e-e95e8e8c571a,Rover,"Tax Accountant II, Income Tax",https://jobs.lever.co/rover/fe7f0553-d3ab-4f20-a81e-e95e8e8c571a,Seattle,hybrid,,91485,117902,29,verify,"Role-family alignment: +5. | Published base floor clears $90,000: +16. | Evidence-aligned keywords (workflow, automation, ai): +8.",Remote status is not verified. | Florida eligibility is unknown.
lever,ce477d8b-7fd1-4790-bada-4365aaad91bf,Agile Defense,Data Engineer,https://jobs.lever.co/agile-defense/ce477d8b-7fd1-4790-bada-4365aaad91bf,"Camp Smith, HI",remote,,,,28,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (workflow, stakeholder, ai): +8.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,ac98c83d-6fed-423f-934f-044deeae71e6,Agile Defense,"IT Project Lead, SME",https://jobs.lever.co/agile-defense/ac98c83d-6fed-423f-934f-044deeae71e6,"Washington, D.C.",onsite,,,,28,verify,"Role-family alignment: +5. | Evidence-aligned keywords (operations, process improvement, program management, automation, stakeholder, sop): +23.",Role is not clearly full-time employment. | Remote status is not verified. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,294c9881-e0ca-4dea-970a-5c58160e33ff,Agile Defense,Senior Defense Capture Manager (Air Force),https://jobs.lever.co/agile-defense/294c9881-e0ca-4dea-970a-5c58160e33ff,"McLean, VA",remote,,,,28,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (crm, salesforce, ai): +8.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,648530fa-0a30-4281-b434-2772e29bcdaf,Agile Defense,Senior Defense Capture Manager (Army),https://jobs.lever.co/agile-defense/648530fa-0a30-4281-b434-2772e29bcdaf,"McLean, VA",remote,,,,28,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (crm, salesforce, ai): +8.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,eb5c4a3a-5edb-4113-ad49-b1870966831d,Agile Defense,Technical Direction Letter Manager,https://jobs.lever.co/agile-defense/eb5c4a3a-5edb-4113-ad49-b1870966831d,Remote,remote,,,,28,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Evidence-aligned keywords (workflow, stakeholder, ai): +8.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
